backgroundrank,bokehfactor,cameramodel,cameramodelndex,coherency,colorcontrastf,colorsimilarity,dominantcol1percent,dominantcol1value,dominantcol1l,dominantcol1a,dominantcol1b,dominantcol2percent,dominantcol2value,dominantcol2l,dominantcol2a,dominantcol2b,dominantcol3percent,dominantco3value,dominantcol3l,dominantcol3a,dominantcol3b,dominantcol4percent,dominantcol4value,dominantcol4l,dominantcol4a,dominantcol4b,dominantcol5percent,dominantcol5value,dominantcol5l,dominantcol5a,dominantcol5b,dominantcol6percent,dominantcol6value,dominantcol6l,dominantcol6a,dominantcol6b,dominantcol7percent,dominantcol7value,dominantcol7l,dominantcol7a,dominantcol7b,dominantcol8percent,dominantcol8value,dominantcol8l,dominantcol8a,dominantcol8b,strongcol1percent,strongcol1value,strongcol1l,strongcol1a,strongcol1b,strongcol2percent,strongcol2value,strongcol2l,strongcol2a,strongcol2b,contrastf,datetaken,directionsimilarity,dynrange,dynrangefactor,exposuref,facesrank,finalrank,focusf,fullframcolorsim,gridcolorsimilarity,height,horizonleft,intballancef,lifeid,objectsh,objectsw,objectsx,objectsy,objectsfactor,origheight,origwidth,partnerphotoid,photoindex,position,saturationf,sky,splitlevel,status,subclusterindex,texturescalesimilarity,url,userid,version,width,datenew,phash,closedeyesf,confidence,enginecode,faceexposuref,facefocusf,gender,genderconf,ffaceheight,kissf,leyeclosed,leyex,leyey,mouthp1x,mouthp1y,mouthp2x,mouthp2y,mouthp3x,mouthp3y,necscore,nosep1x,nosep1y,pitch,profilef,reyeclosed,reyex,reyey,facerank,recindex,recindexnew,roll,significance,smile,facewidth,facex,facey,yaw,faceid,isbaby,datesent,rnum,uploaddate
5.43,0,Canon_PowerShot_SX210_IS_0,1,0.73,\N,12,23,484A48,31.21,-1.26,0.9,21,D6E2EC,89.27,-2.08,-6.25,19,B0B4AF,72.87,-2.34,2.05,16,676A68,44.51,-1.57,0.71,12,888C88,57.82,-2.25,1.61,4,ADC2D5,77.44,-3.12,-11.9,3,1E201E,11.98,-1.43,1.03,1,8A9389,59.96,-5.22,4.16,0,0,0,0,0,0,0,0,0,0,0.34,1367980630,57.18,-0.98,1,2,0,1.39,1,79.77,74.07,720,11,1,70138577976,14.56;14.56;6.76,6.15;5.27;9.67,51.27;44.53;21.09,69.67;62.91;60.83,0.28,2432,4320,72863323705,72863323705,2,0.1,1,0,Success,1.36798E+12,73.97,https://im1.shutterfly.com/ng/services/mediarender/THISLIFE/021011995998/media/72863323705/medium/1491809915/enhance,21011995998,15,1278,1367980630,791C5B86014C9048,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,54:14.5,1,4/10/2017
5.9,0,Canon_EOS_650D_0,1,0.66,\N,22,33,1D1B15,9.79,-0.38,4.48,17,93713B,49.89,6.93,34.69,8,DBC078,78.53,0.05,39.7,8,412F17,20.9,4.9,18.44,8,54514C,34.58,0.21,3.37,7,C49F56,67.43,4.95,42.8,5,5E401A,29.72,8.83,27.79,4,5D4D34,33.74,2.78,17.33,1,8C2F13,33.25,38.17,37.36,0,AB3E1C,41.51,43.05,42.59,0.64,1452182343,92.07,-0.99,1,1.61,7.51,1.77,1,63.18,72.08,720,\N,0.97,70138577976,70.72,85.25,0,12.74,0,3456,5184,72863324365,72863324365,4,0.67,0,0,Success,1.45218E+12,90.79,https://im1.shutterfly.com/ng/services/mediarender/THISLIFE/021011995998/media/72863324365/medium/1491810196/enhance,21011995998,15,1080,1452182343,CC9C0EC86F7F9690,0,100,1111,3.26,0,,10.59,5.12,0,0,44.52,45.47,44.48,47.78,43.79,47.78,43.1,47.78,74.6,43.62,47,0,0,0,42.99,45.5,8.16,0,0,0,1,70,3.42,42,44.01,0,38574bac-b997-42cc-bb6d-7ec5afde3a3b,FALSE,00:45.0,1,4/10/2017
4.68,0,Canon_EOS_650D_0,1,0.88,0.08,50,47,5F6F3E,44.45,-14.88,25.28,15,E8F1F0,94.47,-3.15,-0.56,9,28302C,19,-4.45,1.4,8,CDAF94,73.4,6.79,17.88,3,4B5047,33.32,-3.95,4.61,3,9E7962,53.84,11.18,18.17,3,88977C,60.62,-10.53,12.45,3,3F4958,30.7,-0.1,-10.21,0,0,0,0,0,0,0,0,0,0,0.41,1437860200,50,-0.96,1,0.78,6.32,1.54,1,50,50,720,15,0.97,70138577976,61.05,43.95,23.44,39.09,1.5,3456,5184,72863325514,72863325514,1,0.44,1,0,Success,1.43786E+12,50,https://im1.shutterfly.com/ng/services/mediarender/THISLIFE/021011995998/media/72863325514/medium/1491810611/enhance,21011995998,15,1080,1437860200,FC0F4742E0BD9D63,0.0;0.0,92;50,1;1,3.32;3.07,0.0;0.0,false;,0.0;49.0,6.1;7.59,0;0,0;0,31.81;55.51,32.99;34.61,31.89;55.0,35.78;36.91,31.89;54.42,35.78;36.91,31.89;53.83,35.78;36.91,0.0;0.0,32.86;53.87,34.41;36.24,0;0,-1.0;-0.1,0;0,31.81;53.9,32.99;34.47,4.32;7.14,0;0,0;0,0.0;3.366,1;1,0.0;33.33,4.06;5.06,29.05;53.01,31.29;32.45,-90.0;45.0,34533341-905d-49ba-9329-de483da69687;80c3d18f-ee8d-4268-b0df-91b325344a74,false;false,07:30.3,1,4/10/2017
5.96,0,Canon_EOS_650D_0,1,0.78,0.3,8,33,676D3A,44.41,-10.79,27.61,19,C5D0E0,83.11,-0.57,-9.18,11,363A22,23.42,-6.44,14.37,9,A8A650,66.65,-11.24,44.21,7,A1A7A9,68.08,-1.73,-1.78,5,AEAC6B,69.16,-9.15,33.69,5,B8B78D,73.53,-6.57,21.55,3,856D38,47.25,2.62,32.8,1,985933,44.32,22.38,32.65,0,C37443,56.58,26.68,39.77,0.21,1437853775,99.77,-0.99,1,2,0,1.36,1,99.12,95.91,720,25,0.97,70138577976,44.36;6.59;5.71;3.95,58.3;8.2;7.03;6.15,29.3;13.18;18.16;14.36,32.94;48.32;34.26;67.2,1.5,3456,5184,72863325406,72863325406,3,0.48,1,0,Success,1.43785E+12,98.12,https://im1.shutterfly.com/ng/services/mediarender/THISLIFE/021011995998/media/72863325406/medium/1491810580/enhance,21011995998,15,1080,1437853775,7D712018404800A0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,05:14.6,1,4/10/2017
4.16,0,Canon_EOS_650D_0,1,0.77,\N,50,21,736B3C,44.92,-4.04,27.36,18,F3F4F4,96.12,-0.33,-0.13,16,677032,45.22,-13.32,32.88,8,93A0A7,65.07,-3.14,-5.21,8,C3C8CE,80.39,-0.57,-3.59,6,5.34E+25,32.72,-4.54,25.88,6,5C5C3F,38.36,-5.23,16.74,4,323619,21.53,-7.16,17.57,3,7D8432,53.05,-14.36,42.2,0,0,0,0,0,0.24,1437865883,50,-0.97,1,0.46,0,0.76,1,50,50,720,24,0.99,70138577976,26.79;10.98;8.78;8.35,45.41;12.3;12.89;5.86,33.98;5.57;75.59;69.43,54.47;67.2;65.89;31.63,1.5,3456,5184,72863327127,72863327127,1,0.47,1,0,Success,1.43787E+12,50,https://im1.shutterfly.com/ng/services/mediarender/THISLIFE/021011995998/media/72863327127/medium/1491810714/enhance,21011995998,15,1080,1437865883,6001C1FE6C201094,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11:14.7,1,4/10/2017
5.05,0,Canon_PowerShot_SX210_IS_0,1,0.79,\N,12,38,A9ABA7,69.72,-1.46,1.8,29,EAEBE9,92.92,-0.68,0.84,14,777976,50.58,-1.35,1.37,10,525353,35.21,-0.4,-0.15,4,303133,20.3,0.05,-1.43,2,896961,47.35,11.55,9.42,2,A9887D,59.46,10.85,10.65,1,D09B89,68.5,17.35,17.16,0,0,0,0,0,0,0,0,0,0,0.3,1367981311,87.72,-0.81,1,1.68,8.68,3.2,1,80.93,81.4,720,\N,1,70138577976,74.87;11.44;52.51,29.3;2.05;28.42,32.52;63.57;0.0,25.48;65.51;40.03,1.5,2432,4320,72863323722,72863323722,1,0.06,0,0,Success,1.36798E+12,89.2,https://im1.shutterfly.com/ng/services/mediarender/THISLIFE/021011995998/media/72863323722/medium/1491809923/enhance,21011995998,15,1278,1367981311,6826A38E48418888,0.0;0.0,100;40,1111;1,3.69;2.71,0.0;0.0,;,12.0;4.0,10.46;4.3,0;0,0;0,51.18;75.59,37.3;85.33,50.88;75.59,42.05;87.12,49.86;75.09,42.05;87.12,48.83;74.59,42.05;87.12,96.3;0.0,49.78;75.09,39.93;86.4,0;0,0.0;0.0,0;0,48.38;74.59,37.27;85.33,8.56;6.21,0;0,1000002;0,0.0;0.0,1;0,68.89;0.0,5.89;2.42,46.95;73.88,34.37;84.08,0.0;0.0,6a2cab66-b618-49b5-8581-3dd0a3cbd910;47f624b5-9a74-4d27-8f34-f361a94db149,true;false,54:14.7,1,4/10/2017
0.73,0,Canon_EOS_650D_0,1,0.82,\N,8,40,5C4544,31.69,9.71,4.42,14,6C4D3B,35.62,10.58,15.83,11,896942,46.73,7.69,26.74,10,2E2726,16.36,3.04,1.85,6,888078,54.06,1.55,5.42,6,AB7F73,57.15,15.32,13.17,5,8F766C,51.7,8.1,9.15,3,4362A7,42.34,10.44,-40.59,0,0,0,0,0,0,0,0,0,0,0,1438045509,97.16,-0.92,1,2,5.38,3.47,-3.72,99.93,97.55,720,\N,1,70138577976,,,,,0,3456,5184,72863329216,72863329216,2,0.45,0,1,Success,1.43805E+12,93.38,https://im1.shutterfly.com/ng/services/mediarender/THISLIFE/021011995998/media/72863329216/medium/1491811120/enhance,21011995998,15,1080,1438045509,91B7176D55AD499C,0.0;0.0,57;42,1;1,3.92;4.0,0.0;0.0,false;false,0.0;0.0,23.26;7.95,0;0,0;0,63.87;76.6,45.13;79.16,61.74;77.33,55.31;82.64,61.74;77.33,55.31;82.64,61.74;77.33,55.31;82.64,0.0;0.0,66.39;75.73,52.28;81.6,20;20,-1.0;-1.0,0;0,63.87;76.6,45.13;79.16,4.92;5.0,0;0,0;0,0.0;0.0,1;0,0.0;0.0,15.5;5.3,52.33;75.24,36.9;76.34,-90.0;90.0,c27cef37-bf57-4675-8b6c-0ac02b3167ce;23fcc97d-4c23-40f9-82be-e1e78e7d0063,false;false,14:36.9,1,4/10/2017
5.04,0,Canon_EOS_650D_0,1,0.75,0.17,9,20,CCC5BB,79.82,0.7,5.87,15,3F3328,22.22,3.42,9,12,212529,14.44,-0.72,-3.27,11,889241,58.2,-15.72,41.05,10,655645,37.58,3.28,12.19,9,877867,51.34,2.9,11.45,7,B0A08D,66.74,2.69,12.02,2,4B5967,37.15,-1.86,-9.83,1,6F0A0D,22.39,41.43,28.23,1,8A1314,29.21,47.61,33.03,0.46,1420189040,93.49,-0.99,1,2,0,1.39,0.44,94.08,80.79,720,\N,0.5,70138577976,40.41,38.09,7.32,15.37,1.5,3456,5184,72863330922,72863330922,3,0.48,0,1,Success,1.42019E+12,91.9,https://im1.shutterfly.com/ng/services/mediarender/THISLIFE/021011995998/media/72863330922/medium/1491811662/enhance,21011995998,15,1080,1420189040,2AE60BC0D383065C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22:57.2,1,4/10/2017
4.31,0,Canon_EOS_650D_0,1,0.77,\N,11,32,6E6965,44.74,1.17,2.94,22,A8A198,66.58,0.92,5.58,9,312C2A,18.46,1.84,2.12,8,8D9296,60.27,-1,-2.75,7,6.76E+75,46.01,-1.56,-3.7,6,C2CDD5,81.8,-2.18,-5.26,3,3E4549,28.8,-1.88,-3.39,3,634D40,34.66,7.18,11.25,0,68501D,35.54,4.05,32.85,0,3B7999,48.14,-9.97,-23.27,0.3,1437766352,95.9,-0.99,1,2,6.97,2.57,0.16,98.97,87.49,720,11,0.72,70138577976,21.52;10.1;7.91;3.95,20.8;18.46;14.65;7.91,14.06;58.59;24.61;86.43,66.76;43.05;41.73;48.76,1.49,3456,5184,72863325111,72863325111,2,0.12,1,1,Success,1.43777E+12,97.01,https://im1.shutterfly.com/ng/services/mediarender/THISLIFE/021011995998/media/72863325111/medium/1491810474/enhance,21011995998,15,1080,1437766352,30E9E9A484953262,-0.94,40,11,3.74,0,,3,9.77,0,38,12.2,37.84,11.95,42.9,10.26,42.72,8.57,42.53,0,9.6,37.47,0,0,0,8.82,37.46,6.81,0,0,3.094,1,25.56,6.51,7.06,34.61,0,8ab45cd2-352f-48d5-b8a5-9785b6acdbeb,FALSE,03:11.0,1,4/10/2017
0.2,0,Canon_EOS_650D_0,1,0.79,\N,50,17,F9FEFC,99.24,-1.99,0.37,14,2C262A,15.95,3.7,-1.61,12,9FB0B4,70.68,-5.06,-4.06,10,BAA07F,67.36,4.61,20.75,8,AFAB9F,70,-0.72,6.68,6,8F615A,45.81,17.75,11.55,6,4A302C,22.83,11.27,7.37,6,7F6860,45.98,7.83,7.94,0,0,0,0,0,0,0,0,0,0,0.29,1438045339,50,-0.95,1,0.38,6.26,4.78,-1.72,50,50,720,71,0.01,70138577976,,,,,0,3456,5184,72863328949,72863328949,1,0.24,1,0,Success,1.43805E+12,50,https://im1.shutterfly.com/ng/services/mediarender/THISLIFE/021011995998/media/72863328949/medium/1491811039/enhance,21011995998,15,1080,1438045339,5CD0C20EF010582D,-1.75,100,1111,3.84,0,,5.88,33.23,0,0,70.88,33.16,70.55,53.35,66.99,53.35,63.43,53.35,85.7,65.16,45.57,0,0,70,60.74,36.13,5.6,0,0,-10.91,1,0,22.15,55.67,26.82,0,0c4a26cf-ee29-497e-af9f-0f23b4065f93,FALSE,14:35.7,1,4/10/2017
5.42,0,Canon_EOS_650D_0,1,0.73,0.15,15,21,58534B,35.54,0.47,5.41,13,B6A386,67.92,2.35,17.61,12,777F5D,51.71,-9.2,17.54,11,312D28,18.73,0.74,3.88,10,846F5E,48.36,5.5,12.54,8,8E9961,61.13,-13.37,28.15,6,C5C781,78.64,-11.38,34.86,6,DAC6A4,80.72,1.77,19.61,0,0,0,0,0,0,0,0,0,0,0.3,1420193331,97.81,-0.98,1,1.65,0,1.25,1,90.9,89.02,720,9,1,70138577976,24.16;4.39,14.36;8.79,58.01;25.2,20.64;70.72,0.61,3456,5184,72863331803,72863331803,2,0.32,1,1,Success,1.42019E+12,98.37,https://im1.shutterfly.com/ng/services/mediarender/THISLIFE/021011995998/media/72863331803/medium/1491811951/enhance,21011995998,15,1080,1420193331,7CD411C34C319366,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28:28.9,1,4/10/2017
3.85,0,Canon_EOS_650D_0,1,0.72,\N,19,26,EEF2F1,95.17,-1.5,0.01,15,696C3E,44.34,-8.86,25.32,15,81785C,50.54,-1.27,16.66,9,758044,51.42,-13.98,31.07,9,8C895A,56.29,-6.45,25.64,5,494B3F,31.36,-3.31,6.88,5,525333,34.44,-6.12,18.64,3,1C2219,12.36,-4.96,5.18,0,0,0,0,0,0,0,0,0,0,0.31,1420193056,62.48,-0.96,1,0.15,0,0.66,1,71.53,70.29,1080,\N,0.98,70138577976,,,,,0,5184,3456,72863331642,72863331642,1,0.4,0,0,Success,1.42019E+12,52.45,https://im1.shutterfly.com/ng/services/mediarender/THISLIFE/021011995998/media/72863331642/medium/1491811888/enhance,21011995998,15,720,1420193056,F3071E011CC7FEFF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28:28.7,1,4/10/2017
5.95,0,Canon_EOS_650D_0,1,0.78,0.39,50,31,97BDE6,75.26,-2.95,-24.53,15,D6D8DA,86.24,-0.31,-1.23,8,5B5B3D,37.92,-5.38,17.35,8,4D493F,31.12,-0.31,6.59,7,8F7B5C,52.71,2.94,19.82,5,1F2015,11.81,-2.91,7.33,5,949692,61.81,-1.49,1.84,4,75736D,48.45,-0.4,3.58,1,6B4028,31.68,16.12,22.4,0,0,0,0,0,0.31,1437769348,50,-0.99,1,1.88,0,1.41,1,50,50,720,13,1,70138577976,30.31;13.62;12.74;16.69,9.08;11.43;5.86;2.93,80.27;7.32;70.61;49.22,17.13;52.27;25.04;24.16,1.05,3456,5184,72863325256,72863325256,1,0.38,1,1,Success,1.43777E+12,50,https://im1.shutterfly.com/ng/services/mediarender/THISLIFE/021011995998/media/72863325256/medium/1491810535/enhance,21011995998,15,1080,1437769348,C8422AE45639841B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,04:08.8,1,4/10/2017
5.85,0,Canon_EOS_650D_0,1,0.81,\N,50,24,35477D,31.22,10.2,-32.87,17,677FB7,53.47,6.29,-32.22,16,C0E2F7,88.12,-6.65,-13.91,15,201F20,11.9,0.72,-0.51,13,9EB5C7,72.52,-3.97,-11.76,7,636061,41.03,1.39,-0.15,4,7E8792,55.93,-0.92,-7.01,3,1A283E,15.93,1.66,-15.86,2,354B93,33.76,15.49,-42.34,0,0,0,0,0,0.48,1421696542,50,-0.99,1,1.9,0,1.41,1,50,50,720,22,0.97,70138577976,89.17,47.75,36.91,10.98,1.5,3456,5184,72863332381,72863332381,1,0.51,1,1,Success,1.4217E+12,50,https://im1.shutterfly.com/ng/services/mediarender/THISLIFE/021011995998/media/72863332381/medium/1491812179/enhance,21011995998,15,1080,1421696542,EB5A856B2E939D67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31:31.5,1,4/10/2017
6.08,1,Canon_EOS_650D_0,1,0.84,\N,12,34,D4D440,82.62,-17.16,69.11,18,656820,42.42,-11.29,38.53,17,A9AB34,67.88,-15.37,57.87,13,464A13,30.03,-9.9,30.85,6,363714,22.19,-6.34,21.43,4,7C871E,53.71,-17.62,50.99,3,8E9521,59.3,-16.76,55.68,2,5B604A,39.72,-6.26,11.94,3,8E9521,59.3,-16.76,55.68,4,7C871E,53.71,-17.62,50.99,0.29,1420192319,44.23,-0.97,1,1.98,0,1.28,1,85.03,78.73,720,\N,0.03,70138577976,82.14,89.94,10.25,10.98,0,3456,5184,72863331385,72863331385,2,0.78,0,1,Success,1.42019E+12,59.29,https://im1.shutterfly.com/ng/services/mediarender/THISLIFE/021011995998/media/72863331385/medium/1491811799/enhance,21011995998,15,1080,1420192319,9C3B63E5558CCADE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28:28.4,1,4/10/2017
5.13,0,Canon_EOS_650D_0,1,0.7,0.27,50,40,646A62,44.09,-3.96,3.69,28,8F9790,61.64,-4.25,2.68,8,B9BCB9,75.94,-1.6,1.14,7,363F34,25.52,-6.26,5.51,6,5A6F4F,44.39,-14.34,15.33,4,C0A1A9,69.16,12.71,0.11,3,718C77,55.68,-14,8.08,2,94797D,53.44,11.14,1.76,0,0,0,0,0,0,0,0,0,0,0.24,1420190255,50,-0.91,1,1.46,0,1.14,1,50,50,720,\N,0.99,70138577976,13.62;8.35,8.79;3.22,50.1;30.47,46.56;28.11,0.1,3456,5184,72863330974,72863330974,1,0.18,0,1,Success,1.42019E+12,50,https://im1.shutterfly.com/ng/services/mediarender/THISLIFE/021011995998/media/72863330974/medium/1491811676/enhance,21011995998,15,1080,1420190255,5C91648431C8E735,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25:03.4,1,4/10/2017
2.7,0,Canon_PowerShot_SX210_IS_0,1,0.85,\N,13,20,3A3730,23.15,-0.16,4.86,20,716F63,46.69,-1.52,6.96,18,F9F9F9,97.93,0.01,-0.01,16,3D403F,26.79,-1.48,0.17,9,101313,5.63,-1.15,-0.41,6,DAE7EE,90.88,-2.98,-4.89,5,6A5046,36.45,9.32,10.1,1,68614C,41.24,-0.95,13,0,0,0,0,0,0,0,0,0,0,0.44,1367980499,75.1,-0.97,1,0.13,0,0.7,1,93.99,79.55,1278,61,0,70138577976,28.13,36.4,0,72.07,0,4320,2432,72863323632,72863323632,3,0.13,1,1,Success,1.36798E+12,81.91,https://im1.shutterfly.com/ng/services/mediarender/THISLIFE/021011995998/media/72863323632/medium/1491809886/enhance,21011995998,15,720,1367980499,52DBD29838F42006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,54:14.4,1,4/10/2017
5.34,0,Canon_PowerShot_SX210_IS_0,1,0.76,\N,21,37,C2C5C4,79.26,-1.21,0.13,19,303231,20.56,-1.11,0.33,12,565857,37.2,-1.01,0.3,11,DEE2E2,89.59,-1.34,-0.48,9,747877,50.07,-1.71,0.02,7,9B9EA0,64.93,-0.68,-1.42,2,273A54,23.99,0.81,-18.07,2,415A75,37.34,-1.6,-18.27,0,0,0,0,0,0,0,0,0,0,0.32,1368001038,78.2,-0.96,1,2,8.6,2.68,1,95.46,87.87,1278,\N,1,70138577976,27.25;36.62,23.92;11.44,33.8;47.83,60.64;53.61,1.5,4320,2432,72863323867,72863323867,2,0.02,0,0,Success,1.368E+12,93.51,https://im1.shutterfly.com/ng/services/mediarender/THISLIFE/021011995998/media/72863323867/medium/1491809974/enhance,21011995998,15,720,1368001038,983893F56EFB9BFE,0,100,1101,3.66,0,,18.82,4.71,0,0,61.98,28.01,61.13,30.98,59.98,30.98,58.82,30.98,46.6,60.57,29.49,0,0,0,58.04,28.2,8.67,0,0,-4.086,1,75.56,8.35,56.28,26.86,0,5cbbc182-904d-43bc-ac32-67975642fce9,FALSE,55:12.3,1,4/10/2017
4.17,0,Canon_EOS_650D_0,1,0.81,0.01,10,26,87894E,55.68,-10.02,31.31,19,EEF1F3,94.97,-0.63,-1.32,18,5D642D,40.62,-11.66,29.92,11,AAB7C0,73.69,-2.67,-6.1,5,8B923C,58.39,-14.85,43.73,4,464A2C,30.36,-7.25,17.39,4,848066,53.28,-3.05,14.69,4,8C7E4C,52.97,-1.98,29.09,0,0,0,0,0,0,0,0,0,0,0.21,1437865886,99.05,-0.95,1,0.48,0,0.74,1,98.86,98.58,720,\N,1,70138577976,11.86;27.67;8.78;6.15,18.46;7.03;11.13;11.72,71.19;50.98;9.38;39.84,48.32;50.07;65.45;71.16,1.19,3456,5184,72863327807,72863327807,2,0.47,0,0,Success,1.43787E+12,96.28,https://im1.shutterfly.com/ng/services/mediarender/THISLIFE/021011995998/media/72863327807/medium/1491810740/enhance,21011995998,15,1080,1437865886,6809C03E2C301004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11:14.8,1,4/10/2017
5.27,0,Canon_EOS_650D_0,1,0.8,0.29,27,39,96A178,64.43,-11.18,20.1,17,7C8863,54.86,-11.2,18.46,12,62727F,47.19,-2.85,-9.15,10,3C4C57,31.39,-3.33,-8.55,6,435441,33.81,-10.85,8.97,5,6B7B68,49.85,-9.8,8.43,2,5A704D,44.66,-15.23,16.87,2,708F62,56.06,-19.75,20.5,0,0,0,0,0,0,0,0,0,0,0.2,1437867462,36.35,-0.91,1,1.5,7.63,1.93,1,68.33,70.18,720,\N,0.99,70138577976,58.86;33.38;30.31;11.42,7.32;5.86;3.52;4.69,42.19;36.04;33.69;37.79,28.11;57.54;28.99;20.2,1.47,3456,5184,72863328168,72863328168,1,0.28,0,0,Success,1.43787E+12,83.66,https://im1.shutterfly.com/ng/services/mediarender/THISLIFE/021011995998/media/72863328168/medium/1491810833/enhance,21011995998,15,1080,1437867462,9D07FF00FF23FF98,0,100,1111,3.59,0,,24,5.74,0,0,40.83,20.19,40.64,23.01,39.92,23.01,39.19,23.01,60.3,39.77,22.03,0,0,0,38.83,20.12,8.02,0,0,2.603,1,46.67,3.83,37.87,18.72,0,e1ef7211-1741-4632-957e-ee1ce5960d94,TRUE,11:15.4,1,4/10/2017
1.26,0,Canon_EOS_650D_0,1,0.82,\N,23,26,D6EDF1,92.23,-6.74,-4.51,22,7D6D62,47.21,4.38,8.45,17,2B2C41,18.79,5.42,-13.38,15,A29E90,65.08,-1.07,7.82,6,3F4979,32.26,10.02,-28.67,5,141112,5.36,1.4,-0.13,4,D8CFC4,83.55,1.23,6.56,3,5C613C,39.83,-8.59,20.47,0,3558A7,38.77,14.28,-46.33,1,2E4990,32.61,14.44,-42.39,0.35,1438045372,56.92,-0.96,1,0.71,8.84,6.43,-1.72,91.55,82.44,720,24,0.66,70138577976,26.35;31.19;71.16;29.87,18.75;8.79;14.36;25.49,57.42;58.89;71.48;0.0,11.42;52.71;28.99;50.07,1.43,3456,5184,72863329134,72863329134,3,0.26,1,1,Success,1.43805E+12,73.54,https://im1.shutterfly.com/ng/services/mediarender/THISLIFE/021011995998/media/72863329134/medium/1491811094/enhance,21011995998,15,1080,1438045372,6E88C67CC0091DE0,0,100,1111,3.79,0,,2.35,27.54,0,0,69.74,35.94,68.71,50.38,66.24,50.38,63.76,50.38,61.8,65.36,45.86,0,0,0,61.42,37.63,8.29,0,0,-7.595,1,50,18.36,56.88,29.94,0,c20c81fb-bbb4-472c-adc6-38bb13d19a5e,FALSE,14:35.9,1,4/10/2017
1.38,0,Canon_EOS_650D_0,1,0.82,\N,50,19,272016,12.75,1.44,8.05,18,B8997D,65.32,7.38,19.04,18,735B42,40.44,6.1,18.14,11,DDDFDC,88.6,-1.21,1.22,7,E2C9A8,82.25,3.78,19.72,7,B8B7B4,74.41,-0.2,1.64,6,F6F0CB,94.41,-3.92,18.63,5,E9B482,77.03,13.02,32.86,0,0,0,0,0,0,0,0,0,0,0.36,1418328550,50,-0.97,1,1.05,0,4.15,-1.72,50,50,720,36,0.33,70138577976,63.25,66.8,33.4,27.67,0,3456,5184,72863330394,72863330394,1,0.36,1,1,Success,1.41833E+12,50,https://im1.shutterfly.com/ng/services/mediarender/THISLIFE/021011995998/media/72863330394/medium/1491811482/enhance,21011995998,15,1080,1418328550,6198D69030840320,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19:57.4,1,4/10/2017
4.88,0,Canon_EOS_650D_0,1,0.84,0.26,11,30,706A3A,44.32,-5.04,27.67,26,BAC2C9,78.02,-1.39,-4.47,19,B0B07C,70.69,-8.35,26.72,12,3B3F25,25.62,-6.71,15.41,6,F3F8FC,97.32,-0.92,-2.5,4,939B96,63.22,-3.85,1.62,2,9F783F,53.13,8.62,36.72,1,844E2E,38.81,19.57,28.3,0,AE6139,49.31,27.67,35.94,0,915230,41.64,23.12,30.94,0.18,1437853767,89.87,-0.96,1,1.02,0,1.04,1,98.42,97.31,720,29,0.98,70138577976,15.81;6.15;5.71;7.91,9.38;6.74;7.03;3.81,7.03;16.41;12.89;29.3,55.78;77.31;41.29;53.59,0.6,3456,5184,72863325262,72863325262,2,0.44,1,0,Success,1.43785E+12,78.44,https://im1.shutterfly.com/ng/services/mediarender/THISLIFE/021011995998/media/72863325262/medium/1491810537/enhance,21011995998,15,1080,1437853767,7D62263012C000E0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,05:14.5,1,4/10/2017
